x y_raw lambda=1 lambda=8 lambda=80
0 0.124 0.22015044547802 0.436920864896756 0.65696592655116
0.128 0.636 0.589872683627316 0.614008909516172 0.655143295538819
0.257 0.875 0.86344447629859 0.751981846023493 0.646658590444587
0.386 1.081 0.990842694386505 0.814473452617103 0.62461044599234
0.515 0.927 0.933599732487132 0.780494776742446 0.584951764525393
0.643 0.819 0.743405290810035 0.662372684267832 0.52934031781216
0.772 0.402 0.465349337077647 0.490747193968763 0.463709480564487
0.901 0.195 0.220116548202368 0.315836739087263 0.397613373521568
1.03 -0.101 0.0650422640189482 0.176766353619259 0.339834748915541
1.159 0.283 0.0323452761597721 0.0975564791747711 0.296623691809523
1.288 -0.212 -0.011797887761725 0.0675067631614123 0.268719852905189
1.416 0.146 0.0494440237081206 0.0990972930899493 0.256692586756593
1.545 0.128 0.132700149784697 0.169869811075972 0.255102249756474
1.674 0.139 0.251155605975272 0.263228897598829 0.257125540963114
1.803 0.459 0.413295358002416 0.357345406753367 0.254350381312839
1.932 0.589 0.515448765613429 0.414861580434585 0.236888122479934
2.061 0.57 0.49964983055319 0.411126484693306 0.197408236372275
2.19 0.281 0.381483788953154 0.343256488026034 0.132981593366738
2.319 0.266 0.246886046391581 0.228227148342606 0.0453364608855461
2.447 0.102 0.0813082194935795 0.0752319625496076 -0.0619486635661634
2.576 -0.136 -0.110684121507322 -0.101813965989203 -0.182536988244322
2.705 -0.234 -0.303833625871176 -0.285649529228768 -0.308042363110286
2.834 -0.594 -0.498198821350712 -0.463286873375379 -0.429496925772356
2.963 -0.682 -0.624004609827484 -0.615281953481732 -0.537007284299955
3.092 -0.558 -0.70727707183233 -0.738529865428601 -0.622736335190353
3.221 -0.839 -0.832037678068607 -0.838265460911542 -0.680659383887068
3.349 -0.991 -0.933030827407337 -0.897157358447537 -0.703942531643739
3.478 -0.964 -0.95196324065094 -0.897965993939625 -0.687731137415417
3.607 -0.881 -0.888510811194494 -0.835182133484901 -0.630758778511607
3.736 -0.782 -0.754386191782142 -0.711550793938006 -0.535212393024118
3.865 -0.55 -0.553791223963535 -0.535544225467973 -0.406406934313368
3.994 -0.311 -0.318541557506179 -0.32444082900158 -0.25274220082697
4.123 -0.062 -0.076661618214047 -0.0973259772821092 -0.0844129043336229
4.252 0.136 0.151365725615066 0.128395060572354 0.0876580209083151
4.38 0.389 0.359719223897412 0.339732762603989 0.252827801944655
4.509 0.546 0.527211900934178 0.524648224283431 0.401057940559853
4.638 0.623 0.661937557129137 0.677260945755816 0.524012091014059
4.767 0.759 0.790778091951888 0.794359399130854 0.615165683310422
4.896 0.893 0.901677847742892 0.865949438298776 0.669231496314417
5.025 1.016 0.950803074890722 0.877616992258457 0.682720237850139
5.154 0.923 0.885642176041055 0.818329310221424 0.654939722037752
5.283 0.724 0.71888047894885 0.694351517366898 0.589363760024294
5.411 0.468 0.50056113532801 0.52503257509642 0.49281691643133
5.54 0.246 0.285846817943588 0.333427505140669 0.373806708880121
5.669 0.103 0.0973390642326232 0.135462257343271 0.240530443536537
5.798 -0.068 -0.0822
