x y_raw lambda=1 lambda=8 lambda=80
0 0.124 0.232700625586798 0.445485105673607 0.659045424481206
0.128 0.636 0.574189714160117 0.60711821514412 0.654173597095399
0.257 0.875 0.861328489940038 0.748658505510033 0.645957735806584
0.386 1.081 0.992876300386248 0.813437742564528 0.624138568942045
0.515 0.927 0.935614315811799 0.780673198016633 0.584663887034492
0.643 0.819 0.744447406143493 0.663027425754812 0.529192248504858
0.772 0.402 0.46566612549634 0.491453829915448 0.463661413186146
0.901 0.195 0.220113621841856 0.316402386415572 0.397631737805049
1.03 -0.101 0.0649669176552188 0.177141342432784 0.339892811423431
1.159 0.283 0.0322894135697507 0.0977636468427378 0.296701326380594
1.288 -0.212 -0.0118224074364449 0.067594580716988 0.268802814873048
1.416 0.146 0.0494385240449846 0.0991139692717468 0.256771542517544
1.545 0.128 0.132701684858836 0.169852315133602 0.25517173974492
1.674 0.139 0.251158027804923 0.263200874770174 0.257182992704546
1.803 0.459 0.413296820824221 0.357319365257382 0.254395240798979
1.932 0.589 0.515449304052783 0.414842394324873 0.236921136021969
2.061 0.57 0.499649896802438 0.411114649045124 0.197430889857281
2.19 0.281 0.381483714332238 0.3432505172 0.132995699588402
2.319 0.266 0.246885975098791 0.228225055440728 0.0453438763756059
2.447 0.102 0.0813081832264702 0.0752320057685339 -0.0619462148656902
2.576 -0.136 -0.110684132259143 -0.101813021745447 -0.182538007674764
2.705 -0.234 -0.303833625558938 -0.285648417751144 -0.308045607905073
2.834 -0.594 -0.49819881861466 -0.463285945180307 -0.429501396314141
2.963 -0.682 -0.624004607809114 -0.615281314745789 -0.537012183560676
3.092 -0.558 -0.707277070910447 -0.738529494012906 -0.622741012849462
3.221 -0.839 -0.832037677877688 -0.83826528620375 -0.680663275090774
3.349 -0.991 -0.933030827759425 -0.897157307788797 -0.703945098534269
3.478 -0.964 -0.951963241726552 -0.897966014463059 -0.687731820490968
3.607 -0.881 -0.888510813190543 -0.835182198447943 -0.630756964540214
3.736 -0.782 -0.754386193836315 -0.711550900156977 -0.535207406505211
3.865 -0.55 -0.553791222158244 -0.535544385197694 -0.406398060152412
3.994 -0.311 -0.31854154281439 -0.324441056658007 -0.252728746666954
4.123 -0.062 -0.0766615783045701 -0.0973262694761157 -0.0843943114820686
4.252 0.136 0.15136579168579 0.128394753492029 0.0876820093023494
4.38 0.389 0.359719265775835 0.339732573074992 0.252856908479932
4.509 0.546 0.527211750898921 0.524648405914833 0.401091053728032
4.638 0.623 0.661936888212571 0.677261897019239 0.524046901368002
4.767 0.759 0.790776567975384 0.794361640656542 0.615198269549596
4.896 0.893 0.901675792233393 0.865953493967668 0.669255890155466
5.025 1.016 0.950802995057245 0.877623109011477 0.682728016698897
5.154 0.923 0.885650818284195 0.81833695110087 0.654919704066227
5.283 0.724 0.718908908694253 0.694358596922313 0.58930190693506
5.411 0.468 0.500616094783236 0.525034504274664 0.492696583682171
5.54 0.246 0.285902296352705 0.333416306341491 0.373609418847645
5.669 0.103 0.0972813384209856 0.135426323272031 0.240237389675544
5.798 -0.068 -0.082
