
# Curve 0 of 1, 100 points
# Curve title: ""Out.raw.sin.data""
# x y type
 0  0  i
 0.0909091  0.0902259  i
 0.181818  0.179765  i
 0.272727  0.267932  i
 0.363636  0.354039  i
 0.454545  0.437401  i
 0.545455  0.51733  i
 0.636364  0.593141  i
 0.727273  0.664147  i
 0.818182  0.729662  i
 0.909091  0.788999  i
 1  0.841471  i
 1.09091  0.886498  i
 1.18182  0.923919  i
 1.27273  0.953678  i
 1.36364  0.975721  i
 1.45455  0.989991  i
 1.54545  0.996434  i
 1.63636  0.994994  i
 1.72727  0.985616  i
 1.81818  0.968244  i
 1.90909  0.942823  i
 2  0.909297  i
 2.09091  0.867726  i
 2.18182  0.818621  i
 2.27273  0.762611  i
 2.36364  0.700321  i
 2.45455  0.632378  i
 2.54545  0.55941  i
 2.63636  0.482043  i
 2.72727  0.400903  i
 2.81818  0.316618  i
 2.90909  0.229815  i
 3  0.14112  i
 3.09091  0.0511775  i
 3.18182 -0.0392981  i
 3.27273 -0.129575  i
 3.36364 -0.218921  i
 3.45455 -0.306604  i
 3.54545 -0.391893  i
 3.63636 -0.474055  i
 3.72727 -0.552359  i
 3.81818 -0.626073  i
 3.90909 -0.694465  i
 4 -0.756802  i
 4.09091 -0.812448  i
 4.18182 -0.861141  i
 4.27273 -0.902714  i
 4.36364 -0.937  i
 4.45455 -0.963831  i
 4.54545 -0.983041  i
 4.63636 -0.994463  i
 4.72727 -0.997929  i
 4.81818 -0.993273  i
 4.90909 -0.980327  i
 5 -0.958924  i
 5.09091 -0.929019  i
 5.18182 -0.891053  i
 5.27273 -0.845588  i
 5.36364 -0.793187  i
 5.45455 -0.734412  i
 5.54545 -0.669826  i
 5.63636 -0.599992  i
 5.72727 -0.525471  i
 5.81818 -0.446826  i
 5.90909 -0.36462  i
 6 -0.279415  i
 6.09091 -0.191803  i
 6.18182 -0.102488  i
 6.27273 -0.0122036  i
 6.36364  0.0783173  i
 6.45455  0.168341  i
 6.54545  0.257135  i
 6.63636  0.343966  i
 6.72727  0.428099  i
 6.81818  0.508803  i
 6.90909  0.585343  i
 7  0.656987  i
 7.09091  0.723058  i
 7.18182  0.783115  i
 7.27273  0.836771  i
 7.36364  0.883641  i
 7.45455  0.92334  i
 7.54545  0.955483  i
 7.63636  0.979683  i
 7.72727  0.995556  i
 7.81818  1.00272  i
 7.90909  1.00078  i
 8  0.989358  i
 8.09091  0.968282  i
 8.18182  0.938235  i
 8.27273  0.900113  i
 8.36364  0.854814  i
 8.45455  0.803235  i
 8.54545  0.746273  i
 8.63636  0.684825  i
 8.72727  0.619788  i
 8.81818  0.55206  i
 8.90909  0.482538  i
 9  0.412118  i

